species_name,bin_uri,Habitat,Adult Diet,Larval Diet
Fannia sociella,AAG4620,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Saprophagous
Fannia brooksi,AAG4629,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Saprophagous
Fannia spathiophora,AAG4631,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Saprophagous
Fannia corvina,AAG4632,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Saprophagous
Rhingia nasica,AAG4646,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Thaumatomyia trifasciata,AAG4705,Terrestrial,Nectar/Pollen/Honeydew Feeding,Predaceous
Phytoliriomyza dorsata,AAG4751,Terrestrial,Leaf/Root/Stem Feeding,Leaf/Root/Stem Feeding
Liriomyza helianthi,AAG4754,Terrestrial,Leaf/Root/Stem Feeding,Leaf/Root/Stem Feeding
Cerodontha muscina,AAG4791,Terrestrial,Leaf/Root/Stem Feeding,Leaf/Root/Stem Feeding
Mumetopia occipitalis,AAG4827,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding
Mycetophila perpallida,AAG4872,Terrestrial,Nectar/Pollen/Honeydew Feeding,Mycophagous
Phronia tenuis,AAG4873,Terrestrial,Nectar/Pollen/Honeydew Feeding,Mycophagous
Boletina palmata,AAG4924,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding
Mycetophila alea,AAG4931,Terrestrial,Nectar/Pollen/Honeydew Feeding,Mycophagous
Saigusaia cincta,AAG4946,Terrestrial,Nectar/Pollen/Honeydew Feeding,Mycophagous
Allocotocera pulchella,AAG4955,Terrestrial,Nectar/Pollen/Honeydew Feeding,Mycophagous
Rondaniella dimidiata,AAG4958,Terrestrial,Nectar/Pollen/Honeydew Feeding,Mycophagous
Mycomya nitida,AAG4983,Terrestrial,Nectar/Pollen/Honeydew Feeding,Mycophagous
Chironomus bifurcatus,AAG5453,Aquatic,NonFeeding,Detritus and Algae Feeding
Chaoborus flavicans,AAG5462,Aquatic,NonFeeding,Predaceous
Chironomus atrella,AAG5507,Aquatic,NonFeeding,Detritus and Algae Feeding
Sepsis punctum,AAG5639,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Saprophagous
Symphoromyia fulvipes,AAG5647,Terrestrial,Parasitic,Saprophagous
Culicoides travisi,AAG6436,SemiAquatic,Nectar/Pollen/Honeydew Feeding and Parasitic,Detritus and Algae Feeding
Forcipomyia titillans,AAG6501,Terrestrial,Nectar/Pollen/Honeydew Feeding and Parasitic,Saprophagous
Forcipomyia glauca,AAG6507,Terrestrial,Nectar/Pollen/Honeydew Feeding and Parasitic,Saprophagous
Culicoides obsoletus,AAG6513,SemiAquatic,Nectar/Pollen/Honeydew Feeding and Parasitic,Detritus and Algae Feeding
Forcipomyia cf. acidicola,AAG6537,Terrestrial,Nectar/Pollen/Honeydew Feeding and Parasitic,Saprophagous
Dasyhelea modesta,AAG6542,Aquatic,Nectar/Pollen/Honeydew Feeding,Detritus and Algae Feeding
Bibio xanthopus,AAG6649,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding and Saprophagous
Bibio fraternus,AAG6650,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding and Saprophagous
Bibio fumipennis,AAG6652,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding and Saprophagous
Bibio nervosus,AAG6656,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding and Saprophagous
Pollenia pediculata,AAG6745,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Parasitoid
Boettcheria cimbicis,AAG6756,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Predaceous or Parasitoid
Dasyphora sp.,AAG6757,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Saprophagous
Conioscinella sp. TAW2,AAG6803,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding
Trixoscelis fumipennis,AAG6903,Terrestrial,Unclear,Saprophagous
Medetera vittata,AAG6929,Terrestrial,Predaceous,Predaceous
Coenosia pumila,AAG6936,Terrestrial,Predaceous,Predaceous
Poecilolycia aspinosa,AAG6947,Terrestrial,Nectar/Pollen/Honeydew Feeding and Mycophagous,Saprophagous
Terrilimosina schmitzi,AAG7021,Terrestrial,Saprophagous,Saprophagous
Prosimulium mixtum,AAG7032,Aquatic,Nectar/Pollen/Honeydew Feeding and Parasitic,Detritus and Algae Feeding and Predaceous
Leptocera erythrocera,AAG7276,Terrestrial,Saprophagous,Saprophagous
Leptocera caenosa,AAG7280,SemiAquatic,Saprophagous,Saprophagous
Apteromyia claviventris,AAG7283,Terrestrial,Saprophagous,Leaf/Root/Stem Feeding or Saprophagous
Pullimosina pullula,AAG7284,Terrestrial,Saprophagous,Leaf/Root/Stem Feeding
Trachyopella nuda,AAG7289,Terrestrial,Saprophagous,Saprophagous
Spelobia clunipes,AAG7312,Terrestrial,Saprophagous,Saprophagous
Cordilura fuscipes,AAG7441,Terrestrial,Predaceous,Leaf/Root/Stem Feeding
Scaptomyza adusta,AAG8491,Terrestrial,Leaf/Root/Stem Feeding,Leaf/Root/Stem Feeding
Scaptomyza pallida,AAG8493,Terrestrial,Leaf/Root/Stem Feeding,Leaf/Root/Stem Feeding
Leucophenga varia,AAG8500,Terrestrial,Saprophagous,Mycophagous
Thaumatomyia bistriata,AAG9238,Terrestrial,Nectar/Pollen/Honeydew Feeding,Predaceous
Thaumatomyia pulla,AAG9240,Terrestrial,Nectar/Pollen/Honeydew Feeding,Predaceous
Dolichopus brevipennis,AAG9609,SemiAquatic,Predaceous,Predaceous
Dolichopus diversipennis,AAG9614,SemiAquatic,Predaceous,Predaceous
Dolichopus plumipes,AAG9616,SemiAquatic,Predaceous,Predaceous
Dolichopus nigrilineatus,AAG9624,SemiAquatic,Predaceous,Predaceous
Dolichopus discifer,AAG9628,SemiAquatic,Predaceous,Predaceous
Condylostylus patibulatus,AAG9640,SemiAquatic,Predaceous,Predaceous
Hercostomus unicolor,AAG9651,SemiAquatic,Predaceous,Predaceous
Hydrellia notata,AAG9656,Aquatic,Polyphagous,Leaf/Root/Stem Feeding
Pogonota barbata,AAG9681,Terrestrial,Predaceous,Leaf/Root/Stem Feeding
Dolichopus stenhammari,AAG9682,SemiAquatic,Predaceous,Predaceous
Sympycnus lineatus,AAG9713,SemiAquatic,Predaceous,Predaceous
Gymnopternus subulatus,AAG9727,SemiAquatic,Predaceous,Predaceous
Chrysotimus delicatus,AAG9729,SemiAquatic,Predaceous,Predaceous
Lonchoptera bifurcata,AAG9974,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Sarcophaga aldrichi,AAH0007,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Saprophagous
Leptogaster flavipes,AAH2295,Terrestrial,Predaceous,Predaceous
Stenopogon inquinatus,AAH2299,Terrestrial,Predaceous,Predaceous
Tipulogaster glabrata,AAH2353,Terrestrial,Predaceous,Predaceous
Rhagio gracilis,AAH2729,Terrestrial,Predaceous,Predaceous
Neomyia cornicina,AAH3032,Terrestrial,Saprophagous,Saprophagous
Pollenia rudis,AAH3035,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Parasitoid
Pollenia vagabunda,AAH3040,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Parasitoid
Bradysia excelsa,AAH3907,Terrestrial,NonFeeding,Leaf/Root/Stem Feeding
Bradysia fungicola,AAH3910,Terrestrial,NonFeeding,Leaf/Root/Stem Feeding
Sciara humeralis,AAH3914,Terrestrial,NonFeeding,Saprophagous
Bradysia cellarum,AAH3919,Terrestrial,NonFeeding,Leaf/Root/Stem Feeding and Mycophagous
Scatopsciara atomaria,AAH3920,Terrestrial,NonFeeding,Mycophagous and Saprophagous
Bradysia flavipila,AAH3929,Terrestrial,NonFeeding,"Leaf/Root/Stem Feeding, Mycophagous and Saprophagous"
Bradysia trivittata,AAH3947,Terrestrial,NonFeeding,"Leaf/Root/Stem Feeding, Mycophagous and Saprophagous"
Cratyna fulvicauda,AAH3960,Terrestrial,NonFeeding,Saprophagous
Schwenckfeldina quadrispinosa,AAH3965,Terrestrial,NonFeeding,Saprophagous
Ctenosciara hyalipennis,AAH3983,Terrestrial,NonFeeding,Saprophagous
Trichosia townesi,AAH3987,Terrestrial,NonFeeding,Saprophagous
Scatopsciara neglecta,AAH3990,Terrestrial,NonFeeding,Saprophagous
Dichopygina aculeata,AAH4002,Terrestrial,NonFeeding,Saprophagous
Dichopygina duplicis,AAH4007,Terrestrial,NonFeeding,Saprophagous
Bradysiopsis vittigera,AAH4010,Terrestrial,NonFeeding,Saprophagous
Bradysia strigata,AAH4011,Terrestrial,NonFeeding,"Leaf/Root/Stem Feeding, Mycophagous and Saprophagous"
Prosciara prosciaroides,AAH4013,Terrestrial,NonFeeding,Saprophagous
Cratyna longispina,AAH4014,Terrestrial,NonFeeding,Saprophagous
Apallates coxendix,AAH4148,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding
Elachiptera decipiens,AAH4164,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Epichlorops scaber,AAH4206,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding
Parectecephala eucera,AAH4211,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding
Trichopalpus punctipes,AAH4220,Aquatic,Predaceous,Predaceous
Megaphthalma pallida,AAH4234,Terrestrial,Predaceous,Leaf/Root/Stem Feeding
Cosmetopus longus,AAH4239,Terrestrial,Predaceous,Leaf/Root/Stem Feeding
Boettcheria bisetosa,AAH7139,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Predaceous or Parasitoid
Ravinia planifrons,AAH7140,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Saprophagous
Boettcheria latisterna,AAH7146,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Predaceous or Parasitoid
Ravinia stimulans,AAH7158,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Saprophagous
Spilogona opaca,AAI0276,Aquatic,Predaceous,Predaceous
Limonia nubeculosa,AAI1355,Terrestrial,NonFeeding,Saprophagous
Coquillettidia perturbans,AAI1618,Aquatic,Nectar/Pollen/Honeydew Feeding and Parasitic,Detritus and Algae Feeding
Paratanytarsus sp. TE04,AAI2607,Aquatic,NonFeeding,Detritus and Algae Feeding
Paraphaenocladius impensus,AAI2661,SemiAquatic,NonFeeding,Detritus and Algae Feeding
Pipunculus luteicornis,AAI2733,Terrestrial,Nectar/Pollen/Honeydew Feeding,Parasitoid
Pollenia labialis,AAI2765,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Parasitoid
Pollenia griseotomentosa,AAI2766,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Parasitoid
Phaonia monticola,AAI2888,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Predaceous
Neoascia geniculata,AAI3040,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Mycetophila caudata,AAI3260,Terrestrial,Nectar/Pollen/Honeydew Feeding,Mycophagous
Ophiomyia quinta,AAI3360,Terrestrial,Leaf/Root/Stem Feeding,Leaf/Root/Stem Feeding
Cerodontha capitata,AAI3732,Terrestrial,Leaf/Root/Stem Feeding,Leaf/Root/Stem Feeding
Chironomus melanescens,AAI4303,Aquatic,NonFeeding,Detritus and Algae Feeding
Dryomyza setosa,AAI6087,Terrestrial,Saprophagous,Saprophagous
Paralauterborniella nigrohalteralis,AAI6341,Aquatic,NonFeeding,Detritus and Algae Feeding
Chalarus latifrons,AAI7230,Terrestrial,Nectar/Pollen/Honeydew Feeding,Parasitoid
Heterotrissocladius sp. ES01,AAI8449,Aquatic,NonFeeding,Detritus and Algae Feeding
Hybomitra pechumani,AAI8735,Aquatic,Nectar/Pollen/Honeydew Feeding and Parasitic,Predaceous
Drosophila tripunctata,AAI9091,Terrestrial,Saprophagous,Mycophagous
Drosophila quinaria,AAI9105,Terrestrial,Saprophagous,Saprophagous
Eudorylas minor,AAJ0212,Terrestrial,Nectar/Pollen/Honeydew Feeding,Parasitoid
Calliphora latifrons,AAJ0837,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Saprophagous
Metalimnobia immatura,AAJ2208,Terrestrial,NonFeeding,Mycophagous
Cladotanytarsus atridorsum,AAJ3263,Aquatic,NonFeeding,Detritus and Algae Feeding
Clusiodes melanostomus,AAJ4031,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Unclear
Clusiodes johnsoni,AAJ4032,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Unclear
Chironomus harpi,AAJ4275,Aquatic,NonFeeding,Detritus and Algae Feeding
Helina annosa,AAK4683,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Predaceous
Paracladopelma winnelli,AAK4963,Aquatic,NonFeeding,Detritus and Algae Feeding
Liriomyza fricki,AAK8756,Terrestrial,Leaf/Root/Stem Feeding,Leaf/Root/Stem Feeding
Metalimnobia triocellata,AAK8834,Terrestrial,NonFeeding,Mycophagous
Mycomya shermani,AAK8904,Terrestrial,Nectar/Pollen/Honeydew Feeding,Mycophagous
Phaonia tuguriorum,AAL2750,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Predaceous
Phaonia apicalis,AAL2821,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Predaceous
Fannia ungulata,AAL5108,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Saprophagous
Diamesa nr. hyperborea,AAL5996,Aquatic,NonFeeding,Detritus and Algae Feeding
Helina laxifrons,AAL6541,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Predaceous
Coenosia atritibia,AAL6947,Terrestrial,Predaceous,Predaceous
Tokunagaia obriaini,AAL7118,Aquatic,NonFeeding,Detritus and Algae Feeding
Dicrotendipes modestus,AAL7329,Aquatic,NonFeeding,Detritus and Algae Feeding
Parametriocnemus boreoalpinus,AAL7338,Aquatic,NonFeeding,Detritus and Algae Feeding
Psectrocladius sordidellus,AAL7382,Aquatic,NonFeeding,Detritus and Algae Feeding
Pseudopachychaeta ruficeps,AAL7391,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding
Lasiomma latipenne,AAL7514,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding
Anthomyia mimetica,AAL7527,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Sylvicola punctatus,AAL7534,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Corynoptera trepida,AAL7864,Terrestrial,NonFeeding,Saprophagous
Lycoriella flavipeda,AAL7869,Terrestrial,NonFeeding,Mycophagous and Saprophagous
Cratyna nobilis,AAL7889,Terrestrial,NonFeeding,Saprophagous
Iteaphila macquarti,AAL8966,Terrestrial,Nectar/Pollen/Honeydew Feeding,Predaceous
Megaselia robusta,AAL9067,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Megaselia pulicaria complex,AAL9073,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Megaselia lucifrons,AAL9075,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Megaselia giraudii,AAL9079,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Mycetophila sp. CJB4,AAL9127,Terrestrial,Nectar/Pollen/Honeydew Feeding,Mycophagous
Exechia similis,AAL9140,Terrestrial,Nectar/Pollen/Honeydew Feeding,Mycophagous
Boletina groenlandica,AAL9142,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding
Limnophyes pumilio,AAL9235,SemiAquatic,NonFeeding,Saprophagous
Paraphaenocladius impensus,AAL9425,SemiAquatic,NonFeeding,Detritus and Algae Feeding
Spilogona malaisei,AAL9573,Aquatic,Predaceous,Predaceous
Spilogona zaitzevi,AAL9576,Aquatic,Predaceous,Predaceous
Coenosia frisoni,AAL9581,Terrestrial,Predaceous,Predaceous
Pipiza quadrimaculata,AAM5008,Terrestrial,Nectar/Pollen/Honeydew Feeding,Predaceous
Bryophaenocladius ictericus,AAM6273,Aquatic,NonFeeding,Detritus and Algae Feeding
Monopelopia tenuicalcar,AAM6277,Aquatic,NonFeeding,Predaceous
Limnophyes brachytomus,AAM6299,SemiAquatic,NonFeeding,Saprophagous
Limnophyes minimus,AAM6300,SemiAquatic,NonFeeding,Saprophagous
Sylvicola fuscatus,AAM6391,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Platypalpus xanthopodus,AAM6647,Terrestrial,Predaceous,Predaceous
Heleodromia pullata,AAM6656,Terrestrial,Nectar/Pollen/Honeydew Feeding and Predaceous,Predaceous
Medetera vittata,AAM6776,Terrestrial,Predaceous,Predaceous
Amblypsilopus scintillans,AAM6787,SemiAquatic,Predaceous,Predaceous
Tipula hewitti,AAM7264,Aquatic,NonFeeding,Detritus and Algae Feeding
Xylophagus reflectens,AAM7333,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Coelosia gracilis,AAM8963,Terrestrial,Nectar/Pollen/Honeydew Feeding,Mycophagous
Exechia frigida,AAM9014,Terrestrial,Nectar/Pollen/Honeydew Feeding,Mycophagous
Spilogona sanctipauli,AAM9109,Aquatic,Predaceous,Predaceous
Corynoptera praeforcipata,AAM9224,Terrestrial,NonFeeding,Saprophagous
Corynoptera melanochaeta,AAM9242,Terrestrial,NonFeeding,Saprophagous
Bradysia nitidicollis,AAM9243,Terrestrial,NonFeeding,"Leaf/Root/Stem Feeding, Mycophagous and Saprophagous"
Bradysia vagans,AAM9252,Terrestrial,NonFeeding,"Leaf/Root/Stem Feeding, Mycophagous and Saprophagous"
Scatopsciara atomaria,AAM9256,Terrestrial,NonFeeding,Mycophagous and Saprophagous
Arctopiophila arctica,AAM9282,Terrestrial,Unclear,Saprophagous
Blaesoxipha hunteri,AAM9291,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Parasitoid
Megaselia fungivora,AAM9346,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Trophithauma rostratum,AAM9364,Terrestrial,Nectar/Pollen/Honeydew Feeding and Parasitic,Parasitoid
Tanytarsus bathophilus,AAM9626,Aquatic,NonFeeding,Detritus and Algae Feeding
Penthetria heteroptera,AAN5137,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Forcipomyia bipunctata,AAN5148,Terrestrial,Nectar/Pollen/Honeydew Feeding and Parasitic,Saprophagous
Forcipomyia sp. 2ES,AAN5156,Terrestrial,Nectar/Pollen/Honeydew Feeding and Parasitic,Saprophagous
Dasyhelea incisurata,AAN5169,Aquatic,Nectar/Pollen/Honeydew Feeding,Detritus and Algae Feeding
Vitisiella brevicauda,AAN5241,Terrestrial,NonFeeding,Leaf/Root/Stem Feeding
Camptocladius stercorarius,AAN5341,Terrestrial,NonFeeding,Detritus and Algae Feeding
Lauterborniella agrayloides,AAN5343,Aquatic,NonFeeding,Detritus and Algae Feeding
Pegoplata nigroscutellata,AAN5494,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Dolichopus sp. nr. remus,AAN5527,SemiAquatic,Predaceous,Predaceous
Scaptomyza flava,AAN5544,Terrestrial,Leaf/Root/Stem Feeding,Leaf/Root/Stem Feeding
Chaetochlorops inquilinus,AAN5657,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding
Olcella parva,AAN5661,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding
Acartophthalmus nigrinus,AAN6240,Terrestrial,Unclear,Saprophagous
Opalimosina mirabilis,AAN6406,Terrestrial,Saprophagous,Saprophagous
Scatopsciara atomaria,AAN6431,Terrestrial,NonFeeding,Mycophagous and Saprophagous
Corynoptera deserta,AAN6433,Terrestrial,NonFeeding,Saprophagous
Cratyna uliginosoides,AAN6446,Terrestrial,NonFeeding,Saprophagous
Corynoptera perpusilla,AAN6447,Terrestrial,NonFeeding,Saprophagous
Megaselia sulphurizona,AAN8707,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Psychoda trinodulosa,AAN8770,SemiAquatic,Nectar/Pollen/Honeydew Feeding and Parasitic,Detritus and Algae Feeding
Chelipoda elongata,AAO7763,Aquatic,Nectar/Pollen/Honeydew Feeding and Predaceous,Predaceous
Lispe albitarsis,AAP1125,Aquatic,Predaceous,Predaceous
Tomosvaryella sp. CA3,AAP2466,Terrestrial,Nectar/Pollen/Honeydew Feeding,Parasitoid
Orfelia nemoralis,AAP2528,Terrestrial,Unclear,Predaceous
Siphona intrudens,AAP2721,Terrestrial,Nectar/Pollen/Honeydew Feeding,Parasitoid
Elachiptera nigriceps,AAP5169,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Cricotopus perniger,AAP5929,Aquatic,NonFeeding,Leaf/Root/Stem Feeding and Detritus and Algae Feeding
Megaselia pongsaiae,AAP6408,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Corynoptera subtrivialis,AAP6422,Terrestrial,NonFeeding,Saprophagous
Leptocera neofinalis,AAP6443,Terrestrial,Saprophagous,Saprophagous
Corynoptera cursor,AAP6465,Terrestrial,NonFeeding,Saprophagous
Claustropyga acanthostyla,AAP6467,Terrestrial,NonFeeding,Saprophagous
Coenosia pilosissima,AAP6478,Terrestrial,Predaceous,Predaceous
Sapromyza brachysoma,AAP6482,Terrestrial,Nectar/Pollen/Honeydew Feeding and Mycophagous,Saprophagous
Parakiefferiella scandica,AAP6583,Aquatic,NonFeeding,Detritus and Algae Feeding
Incertella incerta,AAP6790,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding
Xylophagus reflectens,AAP7637,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Pherbellia tenuipes,AAP7696,Aquatic,Nectar/Pollen/Honeydew Feeding,Parasitoid
Ravinia querula,AAP7702,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Saprophagous
Suillia sororcula,AAP8074,Terrestrial,Unclear,Mycophagous
Gymnophora subarcuata,AAP8118,Terrestrial,Nectar/Pollen/Honeydew Feeding and Parasitic,Saprophagous
Belida chaetoneura,AAP8652,Terrestrial,Nectar/Pollen/Honeydew Feeding,Parasitoid
Tachinomyia panaetius,AAP8654,Terrestrial,Nectar/Pollen/Honeydew Feeding,Parasitoid
Megaselia shatesae,AAP8722,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Rivellia steyskali,AAP8739,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding
Dorylomorpha borealis,AAP8740,Terrestrial,Nectar/Pollen/Honeydew Feeding,Parasitoid
Camptochaeta delicata,AAP8779,Terrestrial,NonFeeding,Saprophagous
Delia albula,AAP8834,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding
Platypalpus trivialis,AAP8908,Terrestrial,Predaceous,Predaceous
Dolichopus hastatus,AAP8927,SemiAquatic,Predaceous,Predaceous
Megaselia mikejohnsoni,AAP9858,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Bradysia hilaris,AAP9903,Terrestrial,NonFeeding,Leaf/Root/Stem Feeding
Platypalpus pulicarius,AAQ0265,Terrestrial,Predaceous,Predaceous
Limnophyes minimus,AAQ0598,SemiAquatic,NonFeeding,Saprophagous
Procladius cf. fuscus,AAQ0606,Aquatic,NonFeeding,Predaceous
Peyerimhoffia vagabunda,AAQ2557,Terrestrial,NonFeeding,Saprophagous
Hydrobaenus conformis,AAQ2644,Aquatic,NonFeeding,Detritus and Algae Feeding
Chrysops carbonarius,AAR9768,Aquatic,Nectar/Pollen/Honeydew Feeding and Parasitic,Predaceous or Saprophagous
Limnophyes ninae,AAU3704,SemiAquatic,NonFeeding,Saprophagous
Tanytarsus lugens,AAU4437,Aquatic,NonFeeding,Detritus and Algae Feeding
Boletina populina,AAU4901,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding
Boletina nitiduloides,AAU4924,Terrestrial,Nectar/Pollen/Honeydew Feeding,Leaf/Root/Stem Feeding
Spilogona tundrae,AAU5036,Aquatic,Predaceous,Predaceous
Limnophyes sp. 11ES,AAU5475,SemiAquatic,NonFeeding,Saprophagous
Megaselia hirtiventris,AAU5626,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Corynoptera bicuspidata,AAU6513,Terrestrial,NonFeeding,Saprophagous
Corynoptera cuniculata,AAU6537,Terrestrial,NonFeeding,Saprophagous
Ormosia affinis,AAU6544,SemiAquatic,NonFeeding,Saprophagous
Gimnomera tibialis,AAU6586,Terrestrial,Predaceous,Leaf/Root/Stem Feeding
Dasyhelea arenivaga,AAU6592,Aquatic,Nectar/Pollen/Honeydew Feeding,Detritus and Algae Feeding
Fannia armata,AAU6630,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Saprophagous
Scatopsciara vitripennis,AAU6764,Terrestrial,NonFeeding,Leaf/Root/Stem Feeding
Megaselia pulicaria complex,AAU8534,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Aulacigaster neoleucopeza,AAV0437,Aquatic,Unclear,Saprophagous
Bradysia splendida,AAV1261,Terrestrial,NonFeeding,"Leaf/Root/Stem Feeding, Mycophagous and Saprophagous"
Bradysia impatiens,AAV1295,Terrestrial,NonFeeding,"Leaf/Root/Stem Feeding, Mycophagous and Saprophagous"
Ula sylvatica,AAV1814,Terrestrial,NonFeeding,Saprophagous
Micrempis bomboxynon,AAV3714,Terrestrial,Predaceous,Predaceous
Oedalea lanceolata,AAV3739,Terrestrial,Predaceous,Predaceous
Dolichopus comatus,AAV3887,SemiAquatic,Predaceous,Predaceous
Neurigona ciliata,AAV3904,SemiAquatic,Predaceous,Predaceous
Calycomyza majuscula,AAV4861,Terrestrial,Leaf/Root/Stem Feeding,Leaf/Root/Stem Feeding
Heterotrissocladius changi,AAX0836,Aquatic,NonFeeding,Detritus and Algae Feeding
Paraphaenocladius cf. nasthecus,AAX1168,SemiAquatic,NonFeeding,Detritus and Algae Feeding
Leiomyza curvinervis,AAX5462,Terrestrial,Unclear,Mycophagous
Saltella sphondylii,AAX9300,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Saprophagous
Sarcophaga polistensis,AAX9417,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Saprophagous
Fletcherimyia fletcheri,AAY3629,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Kleptoparasitic
Bradysia urticae,AAY6412,Terrestrial,NonFeeding,"Leaf/Root/Stem Feeding, Mycophagous and Saprophagous"
Cratyna keilini,AAZ0294,Terrestrial,NonFeeding,Saprophagous
Meligramma triangulifera,AAZ1912,Terrestrial,Nectar/Pollen/Honeydew Feeding,Predaceous
Helina setiventris,AAZ5483,Terrestrial,Nectar/Pollen/Honeydew Feeding and Saprophagous,Predaceous
Megaselia variana,AAZ6701,Terrestrial,Nectar/Pollen/Honeydew Feeding,Saprophagous
Iteaphila orchestris,ABA0544,Terrestrial,Nectar/Pollen/Honeydew Feeding,Predaceous
Bradysia scabricornis,ABA0929,Terrestrial,NonFeeding,Leaf/Root/Stem Feeding
Lycoriella sativae,ABA1215,Terrestrial,NonFeeding,Mycophagous and Saprophagous
